"Metric name","Questions these metrics help inform","Metric category"
"AARRR metrics","Focus on acquisition, activation, retention, referrals and revenue as a means of understanding the effectiveness of e-commerce and other sites that prioritize engagement.","Business Outcomes, Value",""
"Actual versus prescribed time for recoveries","Measure the amount of time it takes for the team to address a problem against the amount of time estimated. This metric can be used to better estimate in the future, and to pinpoint features or components that require stronger rollback capabilities.","Value, Flow, Quality",""
"After-hours work","How much paid and unpaid overtime do your employees spend working? By keeping after-hours work to a minimum, you will not only increase business value, but also have happier employees. Keep track of after-hours work, and try to lower the amount as time passes.","Team",""
"Automated build and deployment functionality","This metric tracks the percentage of initiative components that can be built and deployed automatically in a repeatable fashion. Automation increases efficiency, reduces the risk of manual errors and is self-documenting. Your goal should be to continuously increase this percentage.","Flow, Quality
",""
"Automated test functionality","This metric tracks the percentage of initiative components whose functionality can be tested automatically in a repeatable fashion. The goal is to increase this percentage.","Flow, Quality
",""
"Average work in progress","As teams move to visible workflows, they can see the number of work items in each process step. Collect the average work-in-progress metrics by determining the average number of items that exist in each step. Using the average, you can set work-in-progress limits and try to lower the number to a reasonable level.","Team",""
"Backlog size","Number of items on the Product Backlog.  The larger the number the longer the lead times will be.","Team",""
"Blockers","Blocked items highlight dependencies, defects or unavailable skill sets that are preventing progress. Identify blocked items at the daily Kanban meetings by adding a red sticky note on top of the task stating the reason and marking a red dot for each day it is blocked. Escalate the issue if an item remains blocked for three days. Track the number of blocked items each day, and use a retrospective to investigate and resolve root causes.","Flow, Quality",""
"Broken builds","This measurement counts how often build automation fails in a given time period. A broken build is one that does not compile, fails unit tests or is generally unusable by the test team. Broken builds are indicative of sloppy and untrained development teams. The goal is to decrease this number.","Flow, Quality",""
"Burn down/up","Burn-down metrics display a representation of the work left to do versus the time it will take to complete that work. Burn-up metrics measure how much work has been completed. These metrics, popular in agile methodologies, can be used to estimate feature delivery.","Flow",""
"Cadence support","Creating noncoupled components is a best practice because such components are easier to deploy and much less risky. But even noncoupled components have dependencies that must be built and deployed  often at different times with different versions. Use a cadence support metric as a percentage to indicate which component dependencies can support teams working across different methodologies or cadences. For instance, service-oriented architecture (SOA) components have interfaces that can be defined before the components exist, thereby giving other teams the ability to develop  or even release  software in parallel before the components exist. The goal is to increase cadence support by creating components that degrade gracefully or otherwise heal when dependencies dont exist or when infrastructure fails.","Team",""
"Change failure rate (DORA)","The percentage of deployments causing a failure in any dev, test or production environment, or that result in a degraded production service that requires remediation.","Flow, Quality",""
"Change issue severity","Did the change result in data loss, or did it simply delay the rollout? Ranking the severity of change issues can help you pinpoint areas that you need to concentrate on.","Quality",""
"Code coverage","This metric is used to determine how your code was exercised or not during the execution of your test suite. It is frequently used as a measurement of completeness of unit tests. Code coverage can extend into other test types.","Quality",""
"Code quality","Measurements of code quality are generated by static analysis tools and include the codes testability, maintainability, complexity, performance and security.","Quality",""
"Code reviews","This metric measures the percentage of source code that has been peer-reviewed or developed in a pair, mob or swarm development environment. The goal is to increase this number.","Team, Flow, Quality",""
"Component coupling","Use interface characteristics like the numbers of input parameters, output parameters and global variables to create an algorithm for measuring component coupling. Roger Pressman published such algorithms in his book, Software Engineering  A Practitioners Approach. Once you have an algorithm in place, create automation that validates your source codes coupling in a CI environment. The goal is to reduce coupling within your development objects.","Quality",""
"Configuration and infrastructure provisioning automation","Use this metric to track the percentage of components whose configuration and test environments are created through automation. The goal should be to increase this percentage.","Flow, Quality",""
"Continuous testing","This metric measures the percentage of source code that is part of a CI system with full-validation unit tests. The goal is to increase this number.","Flow, Quality",""
"Cost associated with defect","If a defect causes a delay or requires many hours to address, try to determine its associated financial burden. This metric will help teams better categorize defects in the future and allow accountants to determine a projects return on investment. This metric becomes more valuable when correlated with the defect identification metric (described in the next section) because it will expose how long-lived issues cost more to mitigate.","Value",""
"Customer satisfaction","Is your product serving the customers needs and expectations based on direct customer feedback? Does a customer survey reveal thatthe user interface (UI) or user experience (UX) is intuitive, and does the technology perform and feel secure?","Value",""
"Cycle time","This metric records the time spent working on an item or, more technically, when it was pulled into an activity state until it was delivered. Cycle time can also be measured for the individual steps of your SDLC, e.g. design, code, test, deploy. Analyze cycle time to make sense of your process and how it relates to WIP limits. ","Flow",""
"Cyclic dependency","Objects may have a bidirectional dependency  for instance, Object A requires Object B, but Object B also requires Object A. This phenomenon  known as cyclic dependency  prevents objects from being packaged separately and makes them difficult to maintain. Count the number of cyclic dependencies each object has, with the goal of lowering the number to zero.","Flow, Quality",""
"Defect escape rate","Use this metric to measure the number of defects found in different environments (such as development, test, preproduction and production). The goal should be to capture as many defects as possible in the earlier environments and have few defects escape to production systems. This measurement is much easier to ascertain if you use an agreed-upon defect identification table.","Quality",""
"Defect identification","The defect identification metric provides an interval range of values, depending on the phase in which the defect was introduced and the environment in which it was found. For instance, you might use the following linear scale to determine the age of a defect:
Requirement: 1
Design: 4
Development: 8
Test: 16
Preproduction: 32
Production: 64","Quality",""
"Defect leakage","Defect leakage refers to all defects that are found, but not removed, during the respective phase.","Quality",""
"Defects based on misunderstandings","At times, team members report issues that turn out to work as designed. In these cases, you must understand whether the issue emerged due to the reporters lack of experience or judgment. If so, use the opportunity to mentor team members on more accurate methods of testing the product. In the case where the reporter did not understand the functionality, consider whether the user experience needs to be corrected or whether the team member needs education regarding the product domain. The goal is to lower this number over time.","Quality",""
"Dependency and data resiliency","Measure the resiliency of your application components when they do not have access to data or when the database schema doesnt match what the application expects. Your GUI applications typically shouldnt hang or throw exceptions in data failure cases. Instead, they should degrade gracefully by capturing data in a different way or by presenting the user with other options. APIs and other lower-layer components should provide a healthy exception-handling environment when their upstream and data dependencies do not provide necessary information. Count the cases where components proved nonresilient.","Quality",""
